qr,item
12,Комната связи
13,Шкаф: Цифровые системы передачи Nortel OME 6500
14,Шкаф: Цифровые системы передачи UMUX1500
15,Комплект оборудования обработки и маршрутизации данных
16,Система оперативно-диспечерских переговоров
17,Цифровая система передачи FOX-515 1
18,Шкаф Аппаратура ВЧ связи  
19,Шкаф: Система громко-говорящей радиопроисковой связи
20,Шкаф: Система гарантированного питания
21,Шкаф: Цифровая система передачи FOX-515 2
22,Шкаф Оптические преобразователи  РЗА
23,Шкаф: Цифровая система передачи FOX-515 3
